timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1772365101821,0.13005,-0.28095,-9.721951,-0.0020625,-0.0224125,-0.04235,Sitting
1772365101842,0.14205001,-0.26700002,-9.721951,-0.0020625,-0.0224125,-0.04235,Sitting
1772365101842,0.171,-0.25005,-9.76095,-0.0020625,-0.0224125,-0.04235,Sitting
1772365101842,0.171,-0.25005,-9.76095,-0.0020625,-0.011825,-0.0358875,Sitting
1772365101861,0.33900002,-0.22605,-9.757951,-0.0020625,-0.011825,-0.0358875,Sitting
1772365101861,0.537,-0.19305001,-9.753,-0.0020625,-0.011825,-0.0358875,Sitting
1772365101861,0.537,-0.19305001,-9.753,-0.0020625,-0.0405625,-0.0603625,Sitting
1772365101881,0.64305,-0.23805001,-9.753,-0.0020625,-0.0405625,-0.0603625,Sitting
1772365101881,0.54195005,-0.27405003,-9.721951,-0.0020625,-0.0405625,-0.0603625,Sitting
1772365101881,0.54195005,-0.27405003,-9.721951,-0.0042625,-0.062975,-0.119075,Sitting
1772365101901,0.351,-0.28605002,-9.721951,-0.0042625,-0.062975,-0.119075,Sitting
1772365101901,0.058950003,-0.312,-9.78195,-0.0042625,-0.062975,-0.119075,Sitting
1772365101902,0.058950003,-0.312,-9.78195,-0.006325,-0.0715,-0.131725,Sitting
1772365101921,-0.19905001,-0.36705002,-9.84195,-0.006325,-0.0715,-0.131725,Sitting
1772365101921,-0.33795002,-0.34800002,-9.780001,-0.006325,-0.0715,-0.131725,Sitting
1772365101921,-0.33795002,-0.34800002,-9.780001,-0.0127875,-0.12155,-0.081675,Sitting
1772365101941,-0.33105,-0.28605002,-9.705001,-0.0127875,-0.12155,-0.081675,Sitting
1772365101941,-0.38595003,-0.35295,-9.5119505,-0.0127875,-0.12155,-0.081675,Sitting
1772365101941,-0.38595003,-0.35295,-9.5119505,-0.005225,-0.0661375,-0.017875,Sitting
1772365101961,-0.41205,-0.36705002,-9.43995,-0.005225,-0.0661375,-0.017875,Sitting
1772365101961,-0.37800002,-0.22905001,-9.591001,-0.005225,-0.0661375,-0.017875,Sitting
